ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,Code,AttrChair,AttrChair2,UglyChair,UglyChair2,Losers,Losers2,year,sex,LocationLatitude,LocationLongitude,LocationAccuracy
R_beK8sO2SrXEwBAV,Default Response Set,Anonymous,,,76.178.106.23,0,11/15/2015 23:37,11/15/2015 23:38,1,757422,A3GF6AKYQH9ERB,2,,,,,,22,1,32.688797,-114.6657028,-1
R_3wm7F4JTqi5EHVr,Default Response Set,Anonymous,,,75.16.188.185,0,11/15/2015 23:38,11/15/2015 23:39,1,393769,A3ICWVGCEDRXS0,,,1,,,,23,1,32.96890259,-96.79910278,-1
R_aatx2BdcZFgJmyp,Default Response Set,Anonymous,,,108.245.192.125,0,11/15/2015 23:38,11/15/2015 23:39,1,733263,A1R93MQYAFEVX1,,,,2,,,30,1,34.09049988,-118.1343994,-1
R_ehqm4Mf66yJSfs1,Default Response Set,Anonymous,,,24.115.141.72,0,11/15/2015 23:37,11/15/2015 23:40,1,998331,AD317NO9623GZ,,1,,,,,20,2,41.07150269,-75.12779999,-1
R_1T974y7erA32005,Default Response Set,Anonymous,,,73.53.85.195,0,11/15/2015 23:39,11/15/2015 23:40,1,915178,A27LGC4MU1R7PQ,2,,,,,,12,1,47.59150696,-117.3544998,-1
R_esre1piS2Qk1xUp,Default Response Set,Anonymous,,,198.176.81.34,0,11/15/2015 23:40,11/15/2015 23:41,1,907520,A2CF2BD4Q0ZDJN,,,,,2,,39,1,39.9611969,-82.99880219,-1
R_54sWj4pVt7xwtkF,Default Response Set,Anonymous,,,24.219.192.102,0,11/15/2015 23:41,11/15/2015 23:41,1,141407,A8SP23ECDU4F0,2,,,,,,6,1,37.26690674,-80.43250275,-1
R_8B3UtmCOhNsZFZ3,Default Response Set,Anonymous,,,70.199.196.28,0,11/15/2015 23:41,11/15/2015 23:42,1,764453,A3SWHINC01JOB5,,2,,,,,14,1,37.34399414,-79.20639801,-1
R_9nSQiUqikeSsjOZ,Default Response Set,Anonymous,,,74.105.63.7,0,11/15/2015 23:41,11/15/2015 23:42,1,270025,A35RZ2HKE9VWJ5,,,,,,2,17,1,40.84829712,-73.97250366,-1
R_5AWigiqvLiTiJwh,Default Response Set,Anonymous,,,108.39.233.128,0,11/15/2015 23:41,11/15/2015 23:42,1,482118,A20IMBFH7SY141,,2,,,,,18,1,40.37869263,-79.97100067,-1
R_eb1ndwOTa8Qud3D,Default Response Set,Anonymous,,,69.125.63.194,0,11/15/2015 23:43,11/15/2015 23:44,1,897670,A22DJQ5AB8TO3I,,,,,,2,11,2,40.61000061,-73.91079712,-1
R_3fNkvlbYBHFJSHr,Default Response Set,Anonymous,,,104.230.115.79,0,11/15/2015 23:44,11/15/2015 23:45,1,532477,A18Q2TSYBDWQU1,,,,,,1,25,1,41.22920227,-80.42440033,-1
R_bmcO7fGweb0wO21,Default Response Set,Anonymous,,,50.102.14.144,0,11/15/2015 23:45,11/15/2015 23:46,1,335062,A2V78B2QWOM6RK,,,2,,,,30,1,41.29789734,-87.02400208,-1
R_cG8Ygsty4Jb3Fw9,Default Response Set,Anonymous,,,72.175.125.199,0,11/15/2015 23:55,11/15/2015 23:56,1,874805,AD368A1RHHRC3,,,,,,2,54,2,38.47790527,-105.4555969,-1
R_bsJUJXfQQK6egwR,Default Response Set,Anonymous,,,94.21.225.202,0,11/15/2015 23:55,11/15/2015 23:57,1,353835,A2B93ZCR26XYMX,,,,,,2,17,1,47.45150757,19.14019775,-1
R_8wDLQBbyvACW3TT,Default Response Set,Anonymous,,,71.194.237.218,0,11/15/2015 23:57,11/15/2015 23:58,1,730063,AI7YTRYN64K0Z,,,1,,,,18,1,41.4631958,-87.69300079,-1
R_2hEKVDKQ7mSpmLj,Default Response Set,Anonymous,,,69.131.29.106,0,11/16/2015 0:01,11/16/2015 0:02,1,513269,A2BVUVKIS50IR8,,,,2,,,26,2,30.79170227,-81.57309723,-1
R_3OsMNOBrXut6Djf,Default Response Set,Anonymous,,,8.34.117.229,0,11/16/2015 0:06,11/16/2015 0:07,1,633698,A2XKIP0PJ3FJ20,,,,,,2,54,1,33.85830688,-115.2957993,-1
R_1LnIipPEtck9qu1,Default Response Set,Anonymous,,,172.5.126.51,0,11/16/2015 0:07,11/16/2015 0:08,1,761966,A33CFLCMJNHHNC,2,,,,,,22,2,37.45759583,-122.1040955,-1
R_7PvCuVGNVwjKrLn,Default Response Set,Anonymous,,,98.14.37.253,0,11/16/2015 0:07,11/16/2015 0:09,1,603898,A3BBK5YDUBRKYW,,,2,,,,17,1,40.73539734,-73.87830353,-1
R_6g2C6VDsIYLsHWt,Default Response Set,Anonymous,,,68.0.162.96,0,11/16/2015 0:06,11/16/2015 0:09,1,314421,ARR1VG3SV6BLW,2,,,,,,7,2,31.59179688,-110.1718979,-1
R_9ZEvD9sCE7dR0Wh,Default Response Set,Anonymous,,,173.219.183.242,0,11/16/2015 0:09,11/16/2015 0:10,1,596875,A1H3TNUIQS76TM,2,,,,,,18,1,32.34640503,-99.83959961,-1
R_6Dp9Dx1tKmbUGDr,Default Response Set,Anonymous,,,68.185.209.88,0,11/16/2015 0:10,11/16/2015 0:10,1,712547,A28FMRMS9TMEOZ,,,2,,,,9,1,32.70069885,-97.38780212,-1
R_9QZjqxMBwCdR1yZ,Default Response Set,Anonymous,,,69.253.38.44,0,11/16/2015 0:09,11/16/2015 0:10,1,260761,A10LLZZHZVGWRW,,2,,,,,12,2,40.05929565,-75.04640198,-1
R_1ZTE2AoqTKZJPG5,Default Response Set,Anonymous,,,74.137.197.193,0,11/16/2015 0:09,11/16/2015 0:10,1,168347,A3CF8ULBSE8MTL,,,2,,,,7,2,38.30819702,-85.98419952,-1
R_3HILYjf7gR8Rsdn,Default Response Set,Anonymous,,,98.204.114.227,0,11/16/2015 0:09,11/16/2015 0:10,1,356519,A2WXD54Q9P937H,,,2,,,,7,1,38.83369446,-77.12039948,-1
R_dj1xCa9JaEBbWqV,Default Response Set,Anonymous,,,169.234.238.208,0,11/16/2015 0:10,11/16/2015 0:10,1,859923,A11VJ9HVZPID81,,,,,,2,8,2,33.64030457,-117.7694016,-1
R_bOXak6EOHWfTGct,Default Response Set,Anonymous,,,184.53.33.175,0,11/16/2015 0:09,11/16/2015 0:10,1,340762,ATL88E7W705EG,,2,,,,,37,2,38,-97,-1
R_e8yONzYgxHoxIKV,Default Response Set,Anonymous,,,38.77.17.254,0,11/16/2015 0:09,11/16/2015 0:11,1,466805,A37N4JY3863YH0,,,,,,1,35,1,43.08909607,-76.22109985,-1
R_73SmJ0gLwxmozEF,Default Response Set,Anonymous,,,24.225.42.141,0,11/16/2015 0:09,11/16/2015 0:11,1,959580,A179FA3NA9FQ47,,,2,,,,16,2,35.27600098,-80.95950317,-1
R_cvFxUZ0mlRhOsQZ,Default Response Set,Anonymous,,,66.191.92.36,0,11/16/2015 0:10,11/16/2015 0:11,1,726303,A2RDNYV4SH5E89,,,2,,,,12,1,42.52200317,-88.24259949,-1
R_bf4ut3SESkOmJ5b,Default Response Set,Anonymous,,,98.207.154.5,0,11/16/2015 0:10,11/16/2015 0:11,1,663735,AQIHP9D5DG5J,,,,,,2,6,1,37.44189453,-122.1430054,-1
R_7UlXdkB61gaP5RP,Default Response Set,Anonymous,,,76.201.79.53,0,11/16/2015 0:11,11/16/2015 0:11,1,709014,A2XHA2AGMU4SBF,,,2,,,,12,1,37.62010193,-121.4590988,-1
R_7OPH0gbk702Ojw9,Default Response Set,Anonymous,,,72.204.5.121,0,11/16/2015 0:11,11/16/2015 0:12,1,198369,A2KPT0PEUEXCC4,,,,,2,,27,1,36.11889648,-93.98400116,-1
R_cN5DzgQHnNyIdq5,Default Response Set,Anonymous,,,172.13.165.147,0,11/16/2015 0:11,11/16/2015 0:12,1,685922,AK0Y6OITL7VGX,,,1,,,,17,2,33.34570313,-81.97219849,-1
R_0BP7z3VoI7mjqcJ,Default Response Set,Anonymous,,,184.63.222.172,0,11/16/2015 0:10,11/16/2015 0:12,1,609151,A34SUZWGLXIWM8,,,2,,,,18,1,37.57749939,-83.71399689,-1
R_bQRJoz4unPZwekB,Default Response Set,Anonymous,,,108.6.175.34,0,11/16/2015 0:12,11/16/2015 0:13,1,918474,A2TCIHHKLL8LQC,,2,,,,,7,1,40.61659241,-74.01239777,-1
R_a30UXwvBfgYiTtj,Default Response Set,Anonymous,,,107.77.76.75,0,11/16/2015 0:12,11/16/2015 0:13,1,172977,A3GXEJ6VWRXBXW,,,2,,,,23,1,40.74899292,-73.9865036,-1
R_a3gncSXQpunNECF,Default Response Set,Anonymous,,,75.36.34.138,0,11/16/2015 0:12,11/16/2015 0:13,1,789300,A321LGD46B3M9Y,,,2,,,,33,2,33.20039368,-117.2906952,-1
R_0eVErANGDsRTZLT,Default Response Set,Anonymous,,,73.209.169.219,0,11/16/2015 0:13,11/16/2015 0:13,1,293514,AL5UXD1GLG4X0,,,2,,,,20,2,41.96369934,-87.88410187,-1
R_1KP5D2ScuiBfLY9,Default Response Set,Anonymous,,,96.42.185.225,0,11/16/2015 0:12,11/16/2015 0:14,1,944714,AFU00NU09CFXE,,,,,,2,28,2,43.05189514,-83.33460236,-1
R_e8lVPCTLfjbrMot,Default Response Set,Anonymous,,,67.171.56.43,0,11/16/2015 0:12,11/16/2015 0:14,1,477940,A1D0C0LV5259S6,,,2,,,,17,2,47.63479614,-117.2585983,-1
R_7QfgIDmIfkiO8eh,Default Response Set,Anonymous,,,72.224.19.100,0,11/16/2015 0:13,11/16/2015 0:16,1,928002,A3G79KHMDV51Q8,,,2,,,,31,2,42.79150391,-73.65149689,-1
R_3PkRCPzSnZ71aYJ,Default Response Set,Anonymous,,,104.10.146.217,0,11/16/2015 0:16,11/16/2015 0:16,1,231557,AY4E4CDN0J6JL,2,,,,,,29,2,43.04910278,-88.00260162,-1
R_efBj8X79hPXVRlP,Default Response Set,Anonymous,,,173.17.73.117,0,11/16/2015 0:16,11/16/2015 0:17,1,348550,AYQJO08F8EAB9,,2,,,,,20,1,37.17019653,-93.32969666,-1
R_3dtPT3YMEaow9Fj,Default Response Set,Anonymous,,,76.120.127.214,0,11/16/2015 0:14,11/16/2015 0:17,1,502314,A1MJHGH55K3O0,,,,,,1,12,2,40.51950073,-105.0627975,-1
R_cTLyAjd2APgdp3f,Default Response Set,Anonymous,,,104.174.222.43,0,11/16/2015 0:17,11/16/2015 0:18,1,523153,A1A3TGZ7DKJWRW,,2,,,,,12,1,34.08520508,-117.8878021,-1
R_eRjSNQNkH5TvhPL,Default Response Set,Anonymous,,,162.198.166.54,0,11/16/2015 0:18,11/16/2015 0:19,1,733063,A2LCFORIW0NF1S,,2,,,,,49,2,37.96850586,-84.14600372,-1
R_3F8RApKBvKebvoh,Default Response Set,Anonymous,,,104.63.226.6,0,11/16/2015 0:17,11/16/2015 0:19,1,993406,A3OOD9IMOHPPFQ,,,,2,,,38,2,39.49139404,-119.8434982,-1
R_6FEH3PU20sGbJNb,Default Response Set,Anonymous,,,161.31.83.95,0,11/16/2015 0:19,11/16/2015 0:20,1,559701,AQRI1E9W5268O,,,,,,2,17,1,35.1053009,-92.35489655,-1
R_06bZo9OKGtegZhj,Default Response Set,Anonymous,,,73.24.65.138,0,11/16/2015 0:19,11/16/2015 0:20,1,809130,A30ZBG4SIBCC2A,,2,,,,,13,1,28.53410339,-81.16470337,-1
R_2lTW2x2d2ylhWNn,Default Response Set,Anonymous,,,98.176.228.55,0,11/16/2015 0:20,11/16/2015 0:21,1,149571,A2TLYMTFPCZVMM,,,2,,,,15,1,32.63609314,-117.0531998,-1
R_9T4tIJVyUUnNEfX,Default Response Set,Anonymous,,,96.36.84.140,0,11/16/2015 0:20,11/16/2015 0:21,1,184104,A2SNX0RFIPIO60,,,,,,2,25,2,36.82789612,-76.48000336,-1
R_eQgd0Vre6pHsRXn,Default Response Set,Anonymous,,,97.126.148.164,0,11/16/2015 0:22,11/16/2015 0:24,1,464572,A3NSX46VYD9J49,,,1,,,,28,2,40.75979614,-111.8626022,-1
R_5d5KVzuc0A98CwZ,Default Response Set,Anonymous,,,172.2.205.230,0,11/16/2015 0:23,11/16/2015 0:24,1,812587,AQVXVMX61864S,,,,,,2,11,1,35.96659851,-79.04100037,-1
R_9o8y7NWDEBTeI3r,Default Response Set,Anonymous,,,98.103.167.74,0,11/16/2015 0:22,11/16/2015 0:25,1,596237,A1BAEFJ2OG7NJ0,,,,2,,,41,2,40.11759949,-83.12650299,-1
R_56m25WN2MzIDV9H,Default Response Set,Anonymous,,,97.81.245.188,0,11/16/2015 0:25,11/16/2015 0:26,1,322384,A1H49IS4NJB5I4,2,,,,,,9,2,33.59480286,-86.83080292,-1
R_2h5NLsW0MdaUlV3,Default Response Set,Anonymous,,,71.113.224.131,0,11/16/2015 0:25,11/16/2015 0:26,1,774503,A1BHINLXH3E2GJ,,2,,,,,48,2,30.61309814,-96.32170105,-1
R_79UY2F3XexHdlAN,Default Response Set,Anonymous,,,70.210.65.129,0,11/16/2015 0:26,11/16/2015 0:27,1,444364,AL4WZDIXIVO2S,,,,2,,,11,2,42.63180542,-85.29309845,-1
R_9GivfiSkkAGfZjL,Default Response Set,Anonymous,,,76.127.229.138,0,11/16/2015 0:26,11/16/2015 0:28,1,899716,A24LUXW1DB1QI5,,2,,,,,22,2,42.12350464,-72.63990021,-1
R_29IQX3ksOwj7ZVH,Default Response Set,Anonymous,,,75.68.149.186,0,11/16/2015 0:27,11/16/2015 0:28,1,597166,A2EFZBN4OLNH7S,,,,1,,,10,2,43.35920715,-72.33630371,-1
R_ahfBIUkjmKc0clv,Default Response Set,Anonymous,,,98.125.232.97,0,11/16/2015 0:27,11/16/2015 0:29,1,481083,A4U7HX5SEFM8G,,,,1,,,41,1,47.36480713,-122.6047974,-1
R_5AW5eUxCA0T2qnb,Default Response Set,Anonymous,,,100.40.128.174,0,11/16/2015 0:28,11/16/2015 0:29,1,855565,A1GIA6WCGRJRY7,,,,,2,,7,2,41.8842926,-73.74880219,-1
R_3yi3EAix0ObeDlP,Default Response Set,Anonymous,,,73.28.224.60,0,11/16/2015 0:29,11/16/2015 0:30,1,180238,AWRMHUCV3KAW9,2,,,,,,22,2,27.06329346,-82.25520325,-1
R_03bTbKKJ9GA54bj,Default Response Set,Anonymous,,,74.101.166.62,0,11/16/2015 0:30,11/16/2015 0:31,1,514063,A37RA0KY5C9O1V,,,,,,2,55,1,40.98829651,-73.79540253,-1
R_4O4nMxNi8tgj2PX,Default Response Set,Anonymous,,,68.101.202.251,0,11/16/2015 0:30,11/16/2015 0:31,1,810354,A1P8M5BKOTAA8I,,,,,,2,24,1,33.27009583,-117.2844009,-1
R_6W53y7T4OJ5UL9b,Default Response Set,Anonymous,,,108.70.210.117,0,11/16/2015 0:33,11/16/2015 0:34,1,720491,A1G1FML6FEYDMR,,,,,2,,13,1,36.36990356,-121.8405991,-1
R_4O4bHXMVWV068U5,Default Response Set,Anonymous,,,74.102.55.171,0,11/16/2015 0:33,11/16/2015 0:34,1,807603,A25MAA14V6FLE3,2,,,,,,44,1,40.792099,-74.16269684,-1
R_aV0y6HJYX6U6fsh,Default Response Set,Anonymous,,,108.89.34.19,0,11/16/2015 0:35,11/16/2015 0:35,1,628230,AF7ZFZR505E84,2,,,,,,11,1,37.39610291,-121.9617004,-1
R_bqnfitSe000DJwF,Default Response Set,Anonymous,,,96.37.119.10,0,11/16/2015 0:36,11/16/2015 0:37,1,912389,A37PO5YNKE5D97,,,,,,2,18,2,43.47540283,-88.20249939,-1
R_1H4e4yKqAYxhMzz,Default Response Set,Anonymous,,,75.63.25.219,0,11/16/2015 0:39,11/16/2015 0:40,1,392294,A2OBE0CGMN1RFN,,2,,,,,13,2,33.71989441,-117.9031982,-1
R_7U5MFyxJppQYqsR,Default Response Set,Anonymous,,,72.221.79.46,0,11/16/2015 0:39,11/16/2015 0:40,1,959481,AWRRXY5ZCJM03,,,2,,,,18,2,41.85450745,-71.43779755,-1
R_79uVFPjH6BuNhTn,Default Response Set,Anonymous,,,73.132.29.52,0,11/16/2015 0:41,11/16/2015 0:42,1,106651,A3K6V27ZCPYCUC,,2,,,,,22,1,38.67799377,-77.31970215,-1
R_02gPlYWN7V3nMcB,Default Response Set,Anonymous,,,166.102.77.99,0,11/16/2015 0:43,11/16/2015 0:45,1,763102,AXFESYBQ21CVX,,,,,,2,21,1,40.77960205,-96.70010376,-1
R_7VsXrMFPR21yleJ,Default Response Set,Anonymous,,,50.141.76.9,0,11/16/2015 0:43,11/16/2015 0:45,1,399271,A388O5WS4R70DA,,,,2,,,19,2,44.98429871,-93.26540375,-1
R_1XPylTRUqTt6XxX,Default Response Set,Anonymous,,,76.105.172.31,0,11/16/2015 0:45,11/16/2015 0:45,1,341466,A37E228VAEOUG7,,,,,,2,17,2,45.51460266,-122.5991974,-1
R_6tJeWcQXcsGeigd,Default Response Set,Anonymous,,,69.62.185.34,0,11/16/2015 0:44,11/16/2015 0:47,1,116377,A2M4YIC3XU2693,,,2,,,,45,2,38.76249695,-121.1649017,-1
R_88M5YhFWLc1mazz,Default Response Set,Anonymous,,,71.48.237.44,0,11/16/2015 0:50,11/16/2015 0:51,1,317144,A112LLA9EP1OK3,,,,2,,,45,2,28.57040405,-81.52980042,-1
R_0e1QIjaM9W63R1b,Default Response Set,Anonymous,,,75.131.140.77,0,11/16/2015 0:54,11/16/2015 0:54,1,965874,A3H41ZSSOG61LG,,2,,,,,22,2,30.45739746,-90.14299774,-1
R_a4oHueTZWGOEWod,Default Response Set,Anonymous,,,50.157.18.250,0,11/16/2015 0:57,11/16/2015 0:58,1,257657,A9YQQIZRWVPIT,,,,,2,,17,2,35.20939636,-89.79319763,-1
R_3JBbHUfUVTBoYex,Default Response Set,Anonymous,,,108.200.41.181,0,11/16/2015 0:59,11/16/2015 1:00,1,751790,A3V55QSFT7MLRX,,,2,,,,28,1,32.72349548,-97.46250153,-1
R_9LGqq7vpWMXrpOd,Default Response Set,Anonymous,,,24.110.60.39,0,11/16/2015 0:59,11/16/2015 1:00,1,529338,AEK67RC8DN148,,,,,,2,39,2,28.45170593,-81.46530151,-1
R_eu4VQwJiIT4GiRT,Default Response Set,Anonymous,,,68.185.118.159,0,11/16/2015 1:00,11/16/2015 1:01,1,509124,A1DY3EW6Q0B5K5,,,2,,,,19,2,42.19549561,-71.84629822,-1
R_0SxQIYxnJSlLOrX,Default Response Set,Anonymous,,,72.168.146.73,0,11/16/2015 1:03,11/16/2015 1:05,1,778885,A2XXDHGV9SX7JG,,,,,2,,42,2,38,-97,-1
R_6MtqLacW6z8DWBv,Default Response Set,Anonymous,,,208.102.121.72,0,11/16/2015 1:04,11/16/2015 1:05,1,994009,A3CVX7GHF3B65Q,2,,,,,,50,2,39.2447052,-84.34729767,-1
R_6XWZ6ISAK05rjtr,Default Response Set,Anonymous,,,68.53.63.214,0,11/16/2015 1:04,11/16/2015 1:05,1,525577,AKYYHX5PBZR5D,,,,,,2,37,2,36.48170471,-86.67559814,-1
R_eKZB9wivCYDiVO5,Default Response Set,Anonymous,,,68.14.15.172,0,11/16/2015 1:05,11/16/2015 1:06,1,304669,A3KCWV8TW3Q71L,,,,2,,,13,2,41.7769928,-72.52359772,-1
R_720P89084lfQvKl,Default Response Set,Anonymous,,,162.198.205.227,0,11/16/2015 1:05,11/16/2015 1:07,1,325474,A3HMBHM8HJLKRD,,,,,,2,41,2,35.64610291,-78.57910156,-1
R_a9NVD1AfC0BXYVL,Default Response Set,Anonymous,,,97.88.73.246,0,11/16/2015 1:02,11/16/2015 1:08,1,333088,A2H5V1V8QIY8Y7,,,2,,,,42,2,38.70289612,-93.23680115,-1
