ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,CF_ID,Intro,AS_vig,AS,AS_T_1,AS_T_2,AS_T_3,AS_T_4,AA_vig,AA,AA_T_1,AA_T_2,AA_T_3,AA_T_4,FS_vig,FS,FS_T_1,FS_T_2,FS_T_3,FS_T_4,FA_vig,FA,FA_T_1,FA_T_2,FA_T_3,FA_T_4,CS_vig,CS,CS_T_1,CS_T_2,CS_T_3,CS_T_4,CA_vig,CA,CA_T_1,CA_T_2,CA_T_3,CA_T_4,Q6,S_char_1,S_char_2,S_char_3,Q67,S_attr,S_comp,S_trust,Q47,A_char_1,A_char_2,A_char_3,Q97,A_attr,A_comp,A_trust,Q61,interest,poltrust,year,sex,LocationLatitude,LocationLongitude,LocationAccuracy
R_0JKIs3pXr6RVC7j,Default Response Set,Anonymous,,,72.187.23.229,0,11/16/2015 21:28,11/16/2015 21:28,1,850555,A1LAZ3AO0NYBC1,1,,,,,,,1,6,3.845,3.845,4.678,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,8,9,1,8,7,16,1,27.78970337,-82.728302,-1
R_dh8NSkXOBl8JtpH,Default Response Set,Anonymous,,,74.179.117.213,0,11/16/2015 21:28,11/16/2015 21:28,1,653956,A2OL18MGK5LEO7,1,,,,,,,1,9,2.199,15.918,16.4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,9,7,1,9,1,19,1,29.57310486,-82.4076004,-1
R_3C4oPN3zAcGRqJv,Default Response Set,Anonymous,,,73.230.44.177,0,11/16/2015 21:28,11/16/2015 21:29,1,851214,A3RIBFIB7C8D20,1,1,9,28.076,28.076,28.922,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,10,10,,,,,,,,,,,,,1,8,5,7,2,40.18080139,-77.21389771,-1
R_bm8qTJgTxIfEocJ,Default Response Set,Anonymous,,,75.111.68.105,0,11/16/2015 21:28,11/16/2015 21:29,1,875083,A2L7SLNYWQ41PA,1,,,,,,,,,,,,,,,,,,,1,9,31.804,38.788,39.73,4,,,,,,,,,,,,,,,,,,,,,1,1,8,8,,,,,1,2,1,19,1,40.85360718,-124.0502014,-1
R_8vlqvOa08xRWHdP,Default Response Set,Anonymous,,,72.178.76.172,0,11/16/2015 21:28,11/16/2015 21:30,1,405103,A2TVG2HLMKVMSL,1,,,,,,,,,,,,,1,8,24.145,24.145,26.04,1,,,,,,,,,,,,,,,,,,,,,,,1,6,9,9,,,,,,,,,1,9,3,20,1,31.00430298,-97.75430298,-1
R_bDGYKsDZjhk1Pdr,Default Response Set,Anonymous,,,74.193.18.40,0,11/16/2015 21:29,11/16/2015 21:30,1,564359,A1GABEPSX2V15F,1,,,,,,,,,,,,,,,,,,,1,6,4.851,4.851,6.228,1,,,,,,,,,,,,,,,,,,,,,1,6,5,8,,,,,1,8,5,14,1,30.43490601,-95.7118988,-1
R_1FxVU8CzSt7Bhit,Default Response Set,Anonymous,,,64.64.32.4,0,11/16/2015 21:29,11/16/2015 21:30,1,242751,A1LRJ2MQD4AMES,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,9.075,9.433,12.112,2,1,3,8,7,,,,,,,,,1,4,8,7,1,9,4,19,1,40.6302948,-75.39409637,-1
R_8kRIooBGFSB9xhX,Default Response Set,Anonymous,,,12.239.13.142,0,11/16/2015 21:28,11/16/2015 21:30,1,686264,A13Q8G2TWZFNY8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,6.005,68.979,69.756,7,,,,,1,1,8,8,,,,,1,1,8,8,1,11,7,7,1,41.97590637,-87.70159912,-1
R_3rWyMZmHwULpPF3,Default Response Set,Anonymous,,,24.74.136.175,0,11/16/2015 21:30,11/16/2015 21:31,1,979930,A3OLRWACCCCUTU,1,,,,,,,,,,,,,,,,,,,,,,,,,1,9,12.435,12.435,21.68,1,,,,,,,,,,,,,,,,,,,,,,,1,7,8,37,2,35.40339661,-80.86109924,-1
R_9FDTPNId9seADAh,Default Response Set,Anonymous,,,129.7.0.93,0,11/16/2015 21:30,11/16/2015 21:31,1,344750,A1BPHW0KCTG34P,1,,,,,,,,,,,,,,,,,,,1,7,3.267,3.267,3.926,1,,,,,,,,,,,,,,,,,,,,,1,8,6,7,,,,,1,9,8,16,1,29.83399963,-95.43419647,-1
