V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,intro,time_front_1,time_front_2,time_front_3,time_front_4,RL_index_1,RL_index_2,RL_index_3,RL_index_4,RL_index_5,RL_index_6,RL_index_7,RL,partyid,partywhich,partylean,govsymp,A_intro,F+Act.Stim,F+Act.Time_1,F+Act.Time_2,F+Act.Time_3,F+Act.Time_4,F-Act.Stim,F-Act.Time_1,F-Act.Time_2,F-Act.Time_3,F-Act.Time_4,F+For.Stim,F+For.Time_1,F+For.Time_2,F+For.Time_3,F+For.Time_4,F-For.Stim,F-For.Time_1,F-For.Time_2,F-For.Time_3,F-For.Time_4,F+Cha.Stim,F+Cha.Time_1,F+Cha.Time_2,F+Cha.Time_3,F+Cha.Time_4,F-Cha.Stim,F-Cha.Time_1,F-Cha.Time_2,F-Cha.Time_3,F-Cha.Time_4,Q230,Act.Find,Act.Solve,Q233,Act.Char_1,Act.Char_2,Act.Char_3,Act.Char_4,Act.Char_5,Act.Char_6,Act.Char_7,Act.Char_8,Q247,For.Find,For.Solve,Q250,For.Char_1,For.Char_2,For.Char_3,For.Char_4,For.Char_5,For.Char_6,For.Char_7,For.Char_8,Q252,Cha.Find,Cha.Solve,Q255,Cha.Char_1,Cha.Char_2,Cha.Char_3,Cha.Char_4,Cha.Char_5,Cha.Char_6,Cha.Char_7,Cha.Char_8,J_Back_1,J_Back_2_1,J_Back_2_2,J_Back_2_3,J_Back_2_4,J_Back_2_5,J_Back_2_7,J_Back_2_8,J_Back_3,J_Back_4,J_Back_5,J_Intro,J_Ind1_AU,Ind1_Tid_A_1,Ind1_Tid_A_2,Ind1_Tid_A_3,Ind1_Tid_A_4,J_Ind1_KU,Ind1_Tid_K_1,Ind1_Tid_K_2,Ind1_Tid_K_3,Ind1_Tid_K_4,J_Ind2_AU,Ind2_Tid_A_1,Ind2_Tid_A_2,Ind2_Tid_A_3,Ind2_Tid_A_4,J_Ind2_KU,Ind2_Tid_K_1,Ind2_Tid_K_2,Ind2_Tid_K_3,Ind2_Tid_K_4,J_Ind3_AU,Ind3_Tid_A_1,Ind3_Tid_A_2,Ind3_Tid_A_3,Ind3_Tid_A_4,J_Ind3_KU,Ind3_Tid_K_1,Ind3_Tid_K_2,Ind3_Tid_K_3,Ind3_Tid_K_4,J_Post_1,J_Post_2,J_Post_3,Q58,Gender,Age,Edu_Own,Edu_Own_TEXT,GapYears,Study,Study_TEXT,Quota,Quota_TEXT,Grades,Housing,Housing_TEXT,Income_Own,PopSize,Income_M,Income_F,Job_M,Job_M_TEXT,Job_F,Job_F_TEXT,Edu_M,Edu_M_TEXT,Edu_F,Edu_F_TEXT,LastVote,VoteNow,LocationLatitude,LocationLongitude,LocationAccuracy
R_2pYmhXoJxV3qZ9x,Default Response Set,Anonymous,,,192.38.33.20,0,9/28/2015 11:11,9/28/2015 11:19,1,1,2.015,53.846,54.485,9,1,5,5,1,5,1,5,10,3,,5,12,1,1,3.548,3.548,22.875,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,6,6,8,6,3,6,3,8,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,11,5,11,1,5,9.711,9.711,11.71,1,,,,,,,,,,,6,16.253,16.253,17.277,1,,,,,,1,6.057,6.057,7.785,1,6,5,6,1,1,21,2,,2,2,,2,,"8,5",6,,150000,1500,?,?,2,,7,,2,,1,,5,5,56.15339661,10.22549438,-1
R_2wdbGyFxMqqeXpY,Default Response Set,Anonymous,,,192.38.33.20,0,9/28/2015 11:13,9/28/2015 11:21,1,1,14.071,56.966,59.009,8,2,5,1,3,3,3,2,5,3,,1,3,1,,,,,,,,,,,1,0,0,13.545,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,1,5,4,4,7,3,8,6,6,,,,,,,,,,,,,1,,,,,1,,,10,3,9,1,,,,,,6,2.716,11.067,12.252,2,7,12.666,12.666,13.972,1,,,,,,6,7.125,7.125,8.551,1,,,,,,6,3,7,1,1,23,2,,3,2,,2,,"7,8",1,,60000,1500,600000,600000,2,,2,,5,,6,,1,10,56.15339661,10.22549438,-1
R_3plMAaJjGeAsGa2,Default Response Set,Anonymous,,,192.38.33.20,0,9/28/2015 11:14,9/28/2015 11:22,1,1,20.662,73.329,74.783,8,2,5,3,3,4,3,4,8,2,,8,6,1,,,,,,,,,,,1,0,0,34.906,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,8,1,6,7,7,6,6,5,6,4,,,,,,,,,,,,,1,,1,,,,,,9,2,8,1,7,24.256,25.118,26.161,2,,,,,,8,15.254,15.254,16.23,1,,,,,,,,,,,6,8.205,8.205,9.336,1,8,3,7,1,2,19,4,,1,2,,1,,"9,5",6,,69000,4000,,,1,,1,,1,,4,,1,14,56.15339661,10.22549438,-1
R_3IbJbgV6XEHwoH9,Default Response Set,Anonymous,,,192.38.33.12,0,9/28/2015 11:14,9/28/2015 11:22,1,1,17.414,55.766,57.21,8,5,2,1,4,1,5,1,3,1,4,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,25.331,0,,,,,,,,,,,,,,,,,,,,,,,,,1,8,7,1,9,8,6,6,6,7,8,6,1,1,,,,,,,11,4,10,1,8,10.508,10.508,11.653,1,,,,,,,,,,,8,11.223,12.439,14.744,2,9,4.89,5.857,6.945,2,,,,,,7,4,10,1,1,22,4,,2,3,,1,,"11,7",6,,120000,325000,800000,0,4,,10,,6,,3,,4,4,56.15339661,10.22549438,-1
R_1l6N3tApterMKfA,Default Response Set,Anonymous,,,192.38.33.11,0,9/28/2015 11:14,9/28/2015 11:22,1,1,10.087,45.017,45.951,7,1,3,5,3,1,2,5,8,1,8,,9,1,,,,,,,,,,,,,,,,,,,,,1,0,0,32.994,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,6,1,8,6,8,8,6,8,6,8,2,1,,,,,,,6,2,6,1,6,6.432,6.432,7.895,1,,,,,,,,,,,8,19.703,19.703,22.213,1,,,,,,4,4.321,4.321,6.289,1,6,1,7,1,2,21,2,,1,3,,1,,"9,6",3,,60000,55000,350,300,4,,2,,5,,5,,8,5,56.15339661,10.22549438,-1
R_1FE3KyN6FhmbK5c,Default Response Set,Anonymous,,,192.38.33.20,0,9/28/2015 11:15,9/28/2015 11:22,1,1,10.363,41.329,48.1,7,3,1,1,2,1,4,1,4,1,2,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,27.571,0,,,,,,,,,,,,,,,,,,,,,,,,,1,8,7,1,7,8,7,7,6,7,6,6,1,,,,,,1,,11,3,4,1,,,,,,8,8.997,8.997,10.273,1,9,5.962,6.982,9.404,2,,,,,,,,,,,2,15.712,15.712,17.072,1,4,3,3,1,2,22,4,,3,3,,1,,"12,7",1,,70,3000,300,600,4,,4,,6,,6,,2,2,56.15339661,10.22549438,-1
R_2VPWGMk8SLplvxE,Default Response Set,Anonymous,,,192.38.33.20,0,9/28/2015 11:13,9/28/2015 11:22,1,1,13.153,43.836,98.627,8,4,2,1,4,1,3,2,5,3,,2,4,1,,,,,,,,,,,,,,,,1,0,0,30.172,0,,,,,,,,,,,,,,,,,,,,,,,1,7,7,1,9,6,8,8,6,6,7,9,,,,,,,,,,,,,1,1,,,,,,,8,4,6,1,,,,,,9,7.662,8.704,12.659,3,10,4.759,4.759,7.557,1,,,,,,7,12.045,12.045,13.565,1,,,,,,6,4,6,1,1,19,4,,0,3,,1,,11,3,,70,1480,950,600,4,,4,,6,,5,,2,2,56.15339661,10.22549438,-1
R_2dyGgzn8f1IJa9u,Default Response Set,Anonymous,,,192.38.33.19,0,9/28/2015 11:11,9/28/2015 11:23,1,1,71.418,121.766,125.676,11,6,2,1,1,4,6,3,4,1,10,,8,1,1,0,0,69.679,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,1,8,8,9,8,6,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,11,6,1,1,,,,,,10,7.704,7.704,9.035,1,,,,,,8,13.811,13.811,15.677,1,8,7.801,7.801,9.592,1,,,,,,9,6,2,1,1,21,4,,2,2,,1,,"11,6",3,,210000,7000,480000,330000,4,,11,Pædagog,6,,5,,2,10,56.15339661,10.22549438,-1
R_1ptjvjv03OSElZC,Default Response Set,Anonymous,,,192.38.33.14,0,9/28/2015 11:11,9/28/2015 11:23,1,1,231.783,259.872,261.338,8,5,1,2,4,1,3,1,4,2,,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.895,2.895,34.217,1,,,,,,,,,,,,,,,,,,,,,,,,,1,7,6,1,5,7,4,4,8,8,7,9,1,,,,,,1,,11,4,6,1,,,,,,8,8.046,8.046,9.076,1,,,,,,9,6.642,6.642,7.588,1,6,10.666,10.666,11.643,1,,,,,,7,4,4,1,2,21,4,,2 år,2,,1,,"11,1",1,,66000,18,400000,500000,4,,4,,5,,2,,4,4,56.15339661,10.22549438,-1
R_28ZFq1rgSy1xwSR,Default Response Set,Anonymous,,,192.38.33.14,0,9/28/2015 11:15,9/28/2015 11:23,1,1,13.313,58.723,60.181,9,1,5,4,1,4,1,4,9,1,5,,9,1,,,,,,1,0,0,46.726,0,,,,,,,,,,,,,,,,,,,,,1,7,4,1,8,7,5,3,6,6,4,7,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,11,3,9,1,10,4.643,5.758,7.018,2,,,,,,11,7.77,7.77,8.954,1,,,,,,7,8.456,12.222,13.658,2,,,,,,8,4,9,1,1,24,1,,1,3,,1,,"9,6",5,,160000,3500,250000,350000,3,,1,,2,,1,,5,5,56.15339661,10.22549438,-1
