ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,MTurkCode,CF_ID,Intro,CO_vig,CO,CO_time_1,CO_time_2,CO_time_3,CO_time_4,Q67,CO_comp,CO_attr,CO_trust,CA_vig,CA,CA_time_1,CA_time_2,CA_time_3,CA_time_4,Q48,CA_comp,CA_attr,CA_trust,SO_vig,SO,SO_time_1,SO_time_2,SO_time_3,SO_time_4,Q39,SO_comp,SO_attr,SO_trust,SA_vig,SA,SA_time_1,SA_time_2,SA_time_3,SA_time_4,Q43,SA_comp,SA_attr,SA_trust,NO_vig,NO,NO_time_1,NO_time_2,NO_time_3,NO_time_4,Q113,NO_comp,NO_attr,NO_trust,NA_vig,NA,NA_time_1,NA_time_2,NA_time_3,NA_time_4,Q123,NA_comp,NA_attr,NA_trust,Q61,interest,poltrust,disgust_1,disgust_2,disgust_3,disgust_4,disgust_5,disgust_6,disgust_7,attention,year,sex,LocationLatitude,LocationLongitude,LocationAccuracy
R_4Yg8JKRNBCYizUp,Default Response Set,Anonymous,,,67.85.42.18,0,26/11/15 00:23,26/11/15 00:24,1,147201,ARVXIBUCA8WDZ,1,,,,,,,,,,,,,,,,,,,,,1,5,7.65,8.601,9.337,3,1,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,4,3,4,3,4,4,5,1,15,1,40.59750366,-73.99790192,-1
R_cv8XkESpAnxCuih,Default Response Set,Anonymous,,,172.56.28.133,0,26/11/15 00:23,26/11/15 00:24,1,501696,A38430CKSXSBLI,1,1,6,16.851,17.788,18.627,4,1,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,6,6,6,5,5,3,4,1,12,1,39.95140076,-75.15820313,-1
R_bx9Ui1zl0z4YEhD,Default Response Set,Anonymous,,,75.139.154.180,0,26/11/15 00:23,26/11/15 00:25,1,722532,A2HGRSPR50ENHL,1,,,,,,,,,,,1,4,16.6,16.6,17.313,1,1,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,3,5,3,2,3,4,3,4,1,23,1,34.12120056,-84.02590179,-1
R_6KEYPjgV3uC8PZP,Default Response Set,Anonymous,,,98.231.225.246,0,26/11/15 00:23,26/11/15 00:25,1,578368,AD7MWBDCVS5ZZ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,27.948,27.948,29.356,1,1,4,1,1,,,,,,,,,,,,,,,,,,,,,1,5,2,3,2,2,5,4,4,5,1,22,1,39.25750732,-76.49510193,-1
R_b8EFsXDS7HV6WIl,Default Response Set,Anonymous,,,96.254.100.102,0,26/11/15 00:23,26/11/15 00:25,1,346496,A1LOD3LNX7FUPJ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,11.782,11.782,13.292,1,1,6,5,6,,,,,,,,,,,1,3,3,2,3,4,3,3,2,3,1,19,1,28.21400452,-81.94940186,-1
R_1BPsb33snhd0kUl,Default Response Set,Anonymous,,,68.226.132.179,0,26/11/15 00:24,26/11/15 00:25,1,951689,AZGBKAM5JUV5A,1,,,,,,,,,,,,,,,,,,,,,1,12,28.361,28.361,31.57,1,1,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,4,6,4,2,2,4,3,5,1,14,2,30.1605072,-92.03320313,-1
R_cNffpB3sx4Be1fv,Default Response Set,Anonymous,,,72.25.62.50,0,26/11/15 00:24,26/11/15 00:25,1,634458,A1MTQP7TA5RCOB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,26.234,26.234,28.074,1,1,5,5,5,,,,,,,,,,,,,,,,,,,,,1,5,2,5,2,3,2,4,4,2,1,31,1,40.17500305,-76.30780029,-1
R_eOHFjCpWXjUzvO5,Default Response Set,Anonymous,,,68.2.159.31,0,26/11/15 00:24,26/11/15 00:26,1,472651,A3UBB1LJKDQGZP,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,24.832,24.832,26.055,1,1,4,4,5,,,,,,,,,,,1,4,2,5,6,5,4,5,4,6,1,22,2,33.38609314,-111.8469009,-1
R_5pSCv3zV8P4esct,Default Response Set,Anonymous,,,69.166.76.215,0,26/11/15 00:24,26/11/15 00:26,1,989497,A20NITCOBY4775,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,34.554,34.554,44.768,1,1,5,4,3,1,7,5,5,4,4,5,4,5,4,1,44,2,29.7328949,-98.65920258,-1
R_dj8QHFWXiAnTw6V,Default Response Set,Anonymous,,,173.254.216.66,0,26/11/15 00:26,26/11/15 00:26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-1
